名称,営業日,住所,アクセス
"wine bar brighter day","火～金、祝前日: 17:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）土、日、祝日: 12:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）",東京都中野区東中野２－２０－１１　方圓館１－２F,東中野駅各線から徒歩5分
東中野キッチンnom,"月～土、祝前日: 12:00～14:00 （料理L.O. 13:30 ドリンクL.O. 13:30）16:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）",東京都中野区東中野１丁目56番4号,東中野駅西口の階段を降りて10秒
"中華居酒屋 四道菜","月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:45 ドリンクL.O. 14:45）17:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:45）","東京都中野区東中野４-4-3 山内ビル1F",JR東中野駅西口徒歩10秒/都営大江戸線東中野駅A1出口徒歩30秒/東西線落合駅2b出口徒歩7分
糠に釘,"月～金、祝前日: 16:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）土、祝日: 15:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）",東京都中野区中野５-32-9ハウスポート中野ビル101,東京メトロ東西線，ＪＲ中野駅北口より徒歩約3分。中野駅北口を出てすぐ右に曲がり進むと左手にございます。
"ニュー中野酒場 鈴忠","月、火、木、金、祝前日: 16:30～23:30 （料理L.O. 22:50 ドリンクL.O. 23:00）土、祝日: 13:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）日: 13:00～20:00 （料理L.O. 20:00 ドリンクL.O. 19:00）",東京都中野区中央４-6-10高橋ビル101,丸ノ内線　新中野駅　２番出口　徒歩３分
"おでんといわな骨酒 和み","土: 18:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）",東京都中野区中野５-56-12-2F,東京メトロ東西線，ＪＲ中野(東京)駅北口より徒歩約5分
"レンガ坂スペインバル siono","月～日、祝日、祝前日: 12:00～20:00 （料理L.O. 19:15 ドリンクL.O. 19:00）",東京都中野区中野３-36-3,東京メトロ東西線，ＪＲ中野駅南口より徒歩2分/東京メトロ丸ノ内線新中野駅２出口より徒歩17分
"トルコアズケバブ TURKUAZ KEBAB","月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）",東京都中野区東中野４-1-1　英ビル１F,東中野駅東口2階段下りて左斜め前角の店舗１F
"魚鮮水産 三代目網元 中野北口店","月～日、祝日、祝前日: 11:30～翌0:00",東京都中野区中野５－５９－２　エフワンビル１Ｆ,"JR線・東京メトロ東西線 中野駅 北口徒歩1分新鮮な海鮮や鍋が食べられる居酒屋！"
"ヒノトリナカマ 中野店","月～日、祝日、祝前日: 11:30～21:00 （料理L.O. 20:30 ドリンクL.O. 20:30）","東京都中野区中野５-50-5 クアドリフォリオ2階",中野駅より徒歩5分
"魚民 新中野駅前店","月～日、祝日、祝前日: 15:00～20:00 （料理L.O. 19:30 ドリンクL.O. 19:30）",東京都中野区中央４－１－２　ＫＩビル　１Ｆ,地下鉄丸ノ内線新中野駅（4番出口）から出て青梅街道を新宿方面に歩いて、すぐ左側のKIビル1階です。
"バリヤスサカバ 東中野駅前店","月～日、祝日、祝前日: 15:00～20:00 （料理L.O. 19:30 ドリンクL.O. 19:30）","東京都中野区東中野４－４－３ 山内ビル Ｂ１Ｆ",JR東中野駅西口を降りてすぐの山内ビルの地下1階にございます。
"猫カフェ Kitty mam キティマム","月、木～日、祝日、祝前日: 13:00～18:30","大阪府大阪市東住吉区鷹合２-1-14 イーストサイド駒川2F",近鉄大阪線針中野駅より徒歩２分
"串八珍 中野南口店","月～日、祝日、祝前日: 11:30～20:00","東京都中野区中野３－３６－１０　坂口中野駅前ビル １F",東京メトロ東西線，ＪＲ中野(東京)駅南口より徒歩約1分
"Legare 東中野","月、水～土、祝前日: 11:30～15:00 （料理L.O. 14:30）17:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）日、祝日: 11:30～15:00 （料理L.O. 14:30）17:00～21:00 （料理L.O. 20:30 ドリンクL.O. 20:30）",東京都中野区東中野３‐7‐23,東中野駅東口　徒歩2分
"大衆酒場 神田屋 中野北口店","月～土、祝前日: 11:30～23:30日、祝日: 11:30～22:00",東京都中野区中野５-56-15　三京ビル１F,JR中野駅北口より徒歩3分
"浦野屋 やきとんてるてる 東中野店","月～土、祝日、祝前日: 11:30～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）日: 11:30～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）",東京都中野区東中野３－6－18,東中野駅徒歩4分落合駅徒歩5分
Barくしまん,"月～日、祝日、祝前日: 18:00～翌4:30 （料理L.O. 翌3:00 ドリンクL.O. 翌4:00）","東京都中野区中野５丁目65-4 和光2F",ＪＲ中野駅北口より徒歩約1分/丸ノ内線新中野駅２出口より徒歩約23分/西武新宿線新井薬師前駅南口より徒歩約22分
"ビッグエコー BIG ECHO 針中野駅前店","月～日、祝日、祝前日: 11:00～翌5:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:00）",大阪府大阪市東住吉区針中野３-１-３０　アクティオーレ針中野３F,"近鉄南大阪線　針中野駅　徒歩30秒/地下鉄谷町線　駒川中野駅 徒歩7分　"
パスタキッチン,"月～土、祝日、祝前日: 11:30～14:3018:00～22:30日: 11:30～15:30",東京都中野区中野２－２５－６　ノイビル・ティップネス中野店B1,JR中野駅徒歩30秒／地下鉄東西線中野駅徒歩30秒
松屋そば店,"月～金、祝前日: 11:30～14:00 （料理L.O. 14:00 ドリンクL.O. 14:00）18:00～23:00 （料理L.O. 22:00 ドリンクL.O. 23:00）",東京都中野区中野５-32-20,東京メトロ東西線/JR中野駅北口徒歩3分
"ジョイサウンド JOYSOUND 中野店","月～日、祝日、祝前日: 11:00～翌6:00",東京都中野区中野５-67-3　共英北口ビル6階,JR中央線・総武線　東西線　中野駅北口徒歩3分　中野サンプラザ前
"酒場 恩人","月、火、木～日、祝日、祝前日: 14:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）",大阪府大阪市東住吉区駒川５-21-3,近鉄南大阪線針中野駅出口より徒歩約3分
ぶどうの木,"月～土、祝日、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）",東京都中野区東中野５－6－6,"JR中央・総武線「東中野駅」 東口より徒歩３分ユニゾンモール向かいです。"
"BAR Y'sPaPa","月～土、祝前日: 18:00～翌2:00",東京都中野区中野３‐３３‐９中野駅南口ビル１Ｆ,"JR中央線・東京メトロ東西線,中野駅南口より徒歩2分！中野駅南口より「マルイ」の前を通り過ぎて「大勝軒」の裏で～す！"
